n,Real,User,Sys
1,0.216,0.295,0.04
1,0.209,0.295,0.037
1,0.22,0.325,0.037
1,0.225,0.334,0.037
1,0.238,0.356,0.042
1,0.255,0.358,0.045
1,0.26,0.38,0.049
1,0.235,0.365,0.044
1,0.253,0.368,0.05
1,0.247,0.39,0.045
1001,0.265,0.409,0.047
1001,0.237,0.4,0.048
1001,0.222,0.389,0.042
1001,0.254,0.367,0.044
1001,0.254,0.383,0.045
1001,0.247,0.397,0.041
1001,0.246,0.369,0.043
1001,0.238,0.403,0.042
1001,0.241,0.395,0.045
1001,0.291,0.412,0.045
2001,0.235,0.466,0.055
2001,0.246,0.373,0.046
2001,0.254,0.413,0.048
2001,0.255,0.414,0.049
2001,0.426,0.409,0.047
2001,0.284,0.506,0.062
2001,0.265,0.405,0.05
2001,0.262,0.421,0.05
2001,0.277,0.414,0.05
2001,0.275,0.422,0.048
3001,0.25,0.417,0.053
3001,0.273,0.423,0.05
3001,0.25,0.413,0.054
3001,0.27,0.407,0.047
3001,0.262,0.44,0.05
3001,0.265,0.415,0.046
3001,0.274,0.426,0.048
3001,0.29,0.436,0.052
3001,0.261,0.449,0.051
3001,0.263,0.421,0.051
4001,0.278,0.415,0.051
4001,0.284,0.441,0.051
4001,0.35,0.457,0.051
4001,0.293,0.477,0.062
4001,0.271,0.448,0.056
4001,0.281,0.44,0.054
4001,0.296,0.47,0.051
4001,0.296,0.452,0.054
4001,0.284,0.467,0.061
4001,0.284,0.456,0.061
5001,0.31,0.471,0.055
5001,0.334,0.463,0.056
5001,0.291,0.52,0.064
5001,0.311,0.458,0.056
5001,0.312,0.518,0.061
5001,0.335,0.479,0.059
5001,0.297,0.521,0.065
5001,0.275,0.498,0.059
5001,0.341,0.464,0.054
5001,0.379,0.531,0.061
6001,0.293,0.557,0.07
6001,0.295,0.499,0.059
6001,0.354,0.488,0.055
6001,0.337,0.569,0.063
6001,0.334,0.555,0.064
6001,0.311,0.533,0.061
6001,0.416,0.503,0.06
6001,0.314,0.652,0.071
6001,0.335,0.561,0.063
6001,0.399,0.542,0.065
7001,0.362,0.585,0.069
7001,0.365,0.57,0.072
7001,0.36,0.622,0.071
7001,0.46,0.597,0.067
7001,0.342,0.658,0.075
7001,0.385,0.599,0.066
7001,0.453,0.641,0.066
7001,0.398,0.669,0.075
7001,0.345,0.624,0.076
7001,0.356,0.589,0.066
8001,0.458,0.554,0.072
8001,0.363,0.735,0.08
8001,0.428,0.646,0.064
8001,0.417,0.712,0.074
8001,0.436,0.615,0.07
8001,0.382,0.75,0.075
8001,0.432,0.626,0.071
8001,0.434,0.655,0.069
8001,0.399,0.72,0.074
8001,0.429,0.666,0.072
9001,0.416,0.632,0.074
9001,0.4,0.675,0.081
9001,0.469,0.685,0.073
9001,0.41,0.69,0.082
9001,0.485,0.656,0.077
9001,0.435,0.751,0.084
9001,0.441,0.667,0.078
9001,0.421,0.731,0.084
9001,0.469,0.684,0.077
9001,0.401,0.689,0.077
10000,0.394,0.662,0.077
10000,0.462,0.651,0.079
10000,0.43,0.722,0.08
10000,0.417,0.685,0.08
10000,0.435,0.719,0.077
10000,0.487,0.662,0.08
10000,0.425,0.78,0.085
10000,0.45,0.714,0.079
10000,0.44,0.649,0.084
10000,0.445,0.735,0.083